2012-01
Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG
2012-01-1,4.7,8.2,1,-,67,0,2.1,7.6,18,-
2012-01-2,5.2,8.7,1.8,-,60,0,4.7,5.6,10.7,-
2012-01-3,3.8,6.7,0,-,44,-,5.1,15.6,25.2,-
2012-01-4,1.7,5.3,-0.7,-,32,0,9.2,10,21.7,35.9
2012-01-5,2.6,4.1,0,-,37,-,7.9,3.5,7.2,-
2012-01-6,2.1,4.1,-0.3,-,71,0,3.2,4.6,10.7,-
2012-01-7,5.7,8,-0.4,-,68,1.78,6.3,7.6,18,-
2012-01-8,5.4,6,4,-,84,1.52,2.1,6.9,10.7,-
2012-01-9,6,7,4.6,-,72,1.02,3.2,4.6,10.7,-
2012-01-10,7.3,9.1,5,-,64,0,2.9,6.1,10.7,-
2012-01-11,4.7,7.2,1,-,64,0,2.7,9.8,18,-
2012-01-12,6.2,9,2,-,65,0,9,5.7,10.7,-
2012-01-13,5.8,7.6,4.6,-,79,9.65,1.8,8.3,14.4,-
2012-01-14,5.7,6,4.6,-,86,31.24,1.8,10,18,-
2012-01-15,5.4,6,4.2,-,85,30.99,3.2,10.2,14.4,-
2012-01-16,4.9,7,3.6,-,85,6.1,5.1,6.3,14.4,-
2012-01-17,7.4,10,3.1,-,71,0.51,8,8.5,18,-
2012-01-18,7.3,8,6,-,85,18.8,3.5,11.9,18,-
2012-01-19,6.4,8,4.9,-,78,1.52,1.6,9.3,18,28.7
2012-01-20,5.7,7.3,3.6,-,67,0,2.6,12,18,32.4
2012-01-21,2.9,5,0,-,82,11.43,4.2,15.6,21.7,39.6
2012-01-22,0.2,1,-2,-,69,0,8,13.7,18,39.6
2012-01-23,-0.3,2.7,-3,-,61,0,7.9,4.6,14.4,-
2012-01-24,0.1,3,-4,-,70,0.25,4.8,9.8,14.4,-
2012-01-25,0.2,5,-4,-,59,0,4.3,5.9,14.4,-
2012-01-26,4.4,8.1,-2.5,-,64,0,7.6,5.7,14.4,-
2012-01-27,5.5,6.5,3.9,-,84,11.68,2.6,7.2,14.4,-
2012-01-28,6.1,7,4.4,-,87,10.67,2.3,9.1,18,-
2012-01-29,5.7,7,4.3,-,82,10.16,3.9,8.3,18,-
2012-01-30,5,7,2,-,76,2.54,5.8,7.4,21.7,-
2012-01-31,6.1,11,2,-,72,1.02,9,8.7,18,-
2012-02
Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG
2012-02-1,4.5,10.3,0,-,67,0,9.3,18.5,25.2,-
2012-02-2,0.8,4,-3,-,52,0,10.9,13.7,18,25.2
2012-02-3,1.9,7.4,-2.2,-,56,0,8,4.8,10.7,-
2012-02-4,5.9,9.3,-1.2,-,74,1.78,3.2,6.5,14.4,-
2012-02-5,8.1,9.6,5.1,-,79,6.6,2.3,6.7,10.7,-
2012-02-6,6.4,8,2,-,79,23.88,5.3,18.1,32.4,39.6
2012-02-7,0.8,5.8,-2.4,-,41,14.22,10.1,15.4,25.2,35.9
2012-02-8,0.7,4.9,-2.8,-,37,0,10.1,7.4,18,-
2012-02-9,2.8,4.2,-2,-,53,0,7.1,7,14.4,-
2012-02-10,0.8,2.6,-1,-,85,2.79,1.9,6.3,18,-
2012-02-11,3.6,5.9,-1.2,-,74,0.25,1.8,3.9,7.2,-
2012-02-12,5.9,7,3.3,-,88,5.08,1.3,5,10.7,-
2012-02-13,6.4,8,5.3,-,82,0,3.1,7.6,14.4,-
2012-02-14,6,7,5,-,88,6.86,1.6,9.4,14.4,-
2012-02-15,4.3,5.9,2,-,84,7.87,3.7,11.1,21.7,-
2012-02-16,4.3,5,2.2,-,77,0,3.9,8.5,14.4,-
2012-02-17,4.4,8.1,0,-,53,0,6,9.1,18,-
2012-02-18,2.6,6,-1,-,45,0,8.5,8.3,18,-
2012-02-19,3.4,8.4,-1,-,49,0,8.2,6.3,14.4,-
2012-02-20,6.1,9.1,-0.7,-,71,5.59,3.1,5.4,10.7,-
2012-02-21,8.6,11,5.4,-,87,24.89,1.1,6.3,14.4,-
2012-02-22,10.5,14.5,7.9,-,86,13.46,1.9,7.8,21.7,-
2012-02-23,6.7,10.2,4,-,83,9.91,1.9,15,21.7,-
2012-02-24,5.1,6,4,-,80,2.29,1.9,11.1,21.7,-
2012-02-25,2.9,4.5,0,-,73,2.54,5,13.1,25.2,-
2012-02-26,3.1,5.2,-0.1,-,62,1.27,9.7,10.9,18,-
2012-02-27,4.3,6,1.7,-,64,0.76,10.3,9.4,14.4,-
2012-02-28,4,5,0.8,-,77,3.56,3.7,5.4,10.7,-
2012-02-29,7.2,10.1,3.1,-,78,7.87,2.9,6.7,10.7,-
2012-03
Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG
2012-03-1,8.2,11,6,-,81,7.11,3.5,7.6,18,-
2012-03-2,6.7,8,4.8,-,79,3.81,2.6,10.7,14.4,-
2012-03-3,5.8,6.1,4.6,-,86,28.19,2.1,7,14.4,-
2012-03-4,7.2,8,5.4,-,87,30.23,1.9,6.3,14.4,-
2012-03-5,6.8,7,5,-,83,8.13,2.7,5.9,14.4,-
2012-03-6,7.2,10.8,4.8,-,75,24.38,2.6,8.1,18,-
2012-03-7,5.3,6,4.7,-,82,12.19,2.9,11.5,25.2,-
2012-03-8,5.7,6,4.3,-,76,7.87,4.7,9.8,14.4,-
2012-03-9,6.1,8,2,-,58,6.35,9.5,11.5,21.7,-
2012-03-10,5.4,9.4,1.7,-,52,0,7.2,6.5,14.4,-
2012-03-11,5.8,11.4,0,-,62,0,6.6,14.6,25.2,-
2012-03-12,5.1,9.2,1.7,-,56,0,9.7,8.3,18,-
2012-03-13,8.4,15.4,2.4,-,64,0,5.8,5.4,14.4,-
2012-03-14,12.7,18.3,4.1,-,59,0.51,6.9,9.3,21.7,-
2012-03-15,11.6,12,9.7,-,86,24.38,1.6,6.9,14.4,-
2012-03-16,14.1,18.4,11,-,78,0,4.3,10.2,18,-
